doctor_id,doctor_id,title,name,city1,city2,region,specialization,reviews,telemedicine,price
1,468387,Dr.,Fernando Gomes Carvalho,Belo Horizonte,belo-horizonte,minas-gerais-mg,alergista,201.0,0,350.0
2,8950,Dra.,Ressala Castro Souza,Belo Horizonte,belo-horizonte,minas-gerais-mg,anestesiologista,35.0,1,300.0
3,620645,Dr.,Eduardo Azevedo De Castro,Belo Horizonte,belo-horizonte,minas-gerais-mg,especialista-em-dor,98.0,1,400.0
4,766263,Dra.,Jaqueline Nerys Freitas,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-vascular,29.0,0,350.0
5,278433,Dr.,Fabianno Zaghetto Campos,Sete Lagoas,sete-lagoas,minas-gerais-mg,cardiologista,12.0,0,400.0
6,515012,Dr.,Caio Simões Souza,Unaí,unai,minas-gerais-mg,cardiologista,167.0,1,750.0
7,770186,Dra.,Luziclélia Janice De Andrade Reis,Belo Horizonte,belo-horizonte,minas-gerais-mg,cardiologista,13.0,0,280.0
8,695131,Dra.,Marina Pinheiro Rocha Fantini,Belo Horizonte,belo-horizonte,minas-gerais-mg,cardiologista-pediatrico,12.0,0,400.0
9,725804,Dr.,Beethoven Costa,Itaúna,bauru,minas-gerais-mg,cirurgiao-buco-maxilo-facial,9.0,1,200.0
10,700287,Dr.,Matheus S. Minucci,Uberlândia,uberlandia,minas-gerais-mg,dentista,76.0,1,250.0
11,524397,Dr.,Renato Barjona Miranda De Miranda,Uberlândia,uberlandia,minas-gerais-mg,dentista,176.0,1,250.0
12,218041,Dr.,Bernardo Scarioli,Belo Horizonte,belo-horizonte,minas-gerais-mg,otorrino,283.0,0,400.0
13,476635,Dr.,Geraldo Capuchinho Jr.,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-plastico,133.0,0,400.0
14,691859,Dr.,Leandro De Aquino,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-plastico,218.0,0,350.0
15,650139,Dr.,Marcelo Mendes Ferreira,Varginha,eloi-mendes,minas-gerais-mg,cirurgiao-da-mao,733.0,0,350.0
16,218136,Dr.,Ronaldo Daniel Da Costa,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-da-mao,38.0,1,80.0
17,70140,Dr.,João Caetano Maurício Canela Filho,Montes Claros,montes-claros,minas-gerais-mg,cirurgiao-da-mao,93.0,0,300.0
18,694501,Dr.,Rafael Barbosa De Santis,Formiga,formiga,minas-gerais-mg,cirurgiao-oncologico,81.0,1,250.0
19,637197,Dr.,Cássio Costa,Montes Claros,montes-claros,minas-gerais-mg,cirurgiao-pediatrico,192.0,1,300.0
20,454313,Dr.,Alexandre Gastão Dos Santos Rocha,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-plastico,18.0,1,250.0
21,146934,Dr.,Andre Giannini,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-plastico,191.0,1,300.0
22,42057,Dr.,Rafael Godoy Castro Barbosa,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-toracico,59.0,1,250.0
23,326709,Dr.,Adriano Nunes Da Silva Dias,Belo Horizonte,belo-horizonte,minas-gerais-mg,cirurgiao-vascular,15.0,0,250.0
24,125965,Dra.,Eloah Gambogi Lima,Belo Horizonte,belo-horizonte,minas-gerais-mg,coloproctologista,7.0,1,400.0
25,397304,Dra.,Kelly Cristine Lacerda Rodrigues Buzatti,Belo Horizonte,belo-horizonte,minas-gerais-mg,coloproctologista,588.0,1,450.0
26,661176,Dra.,Nathalia Nascentes C. Dos S. Omer,Belo Horizonte,belo-horizonte,minas-gerais-mg,coloproctologista,258.0,1,350.0
27,427330,Dra.,Ana Carmen Dos S. R. Simões Juliano,Juiz de Fora,juiz-de-fora,minas-gerais-mg,endocrinologista,149.0,1,300.0
28,34146,Dra.,Juni Carvalho Castro,Belo Horizonte,belo-horizonte,minas-gerais-mg,endocrinologista-pediatrico,34.0,1,700.0
29,197810,Dr.,Rodrigo Lovatti,Ipatinga,ipatinga,minas-gerais-mg,gastroenterologista,221.0,1,400.0
30,742719,Dr.,Ricardo Fortes Monteiro De Castro,Formiga,formiga,minas-gerais-mg,gastroenterologista,145.0,1,350.0
31,773349,Dr.,Geraldo Alcantara,Sete Lagoas,sete-lagoas,minas-gerais-mg,gastroenterologista,108.0,0,300.0
32,779164,,Giovanna Maciel Cappai,Belo Horizonte,belo-horizonte,minas-gerais-mg,enfermeiro,0.0,0,400.0
33,767768,Dra.,Caroline Corradi,Nova Lima,nova-lima,minas-gerais-mg,nutrologo,9.0,1,500.0
34,109259,Dr.,Leonardo Florencio,Belo Horizonte,belo-horizonte,minas-gerais-mg,geriatra,44.0,0,350.0
